,mass flow (kg/s),mole flow (kmol/s),mole percent Ar (%),mole percent CO2 (%),mole percent H2 (%),mole percent H2O (%),mole percent N2 (%),mole percent O2 (%),pressure (bar),temperature (K),vapor fraction (%),volumetric flow (m**3/s)
feed01,57.62269125377096,3.439417447749175,,,7.885683636146304,92.1143163638537,,,2.900057908346276,878.920263373136,100,86.55146796180175
feed01b,57.62269125377095,3.4394174477491744,,,7.885683636146306,92.1143163638537,,,2.900057908346276,958.3805902150984,100,94.41877995534817
feed02,55.85433453422091,3.100386701412407,,,,100.0,,,2.900057908346276,868.4431830672513,100.0,77.08766281757465
feed02b,55.85433453422091,3.100386701412407,,,1e-17,100.0,,,2.900057908346276,868.443183067251,100,77.0620919857514
feed03,55.85433453422091,3.100386701412407,,,,100.0,,,2.900057908346276,577.109974354327,100.0,50.94814589349718
hstrm01,17.939720868335183,3.4394174477491744,,,79.9991097522778,20.000890247722207,,,2.900057908346276,998.2797083455171,100,98.47347539716485
hstrm02,1.7683567195500567,0.33903074633676744,,,79.9991097522778,20.000890247722207,,,2.900057908346276,998.2797083455171,100,9.706741436729144
hstrm03,16.171364148785123,3.1003867014124067,,,79.9991097522778,20.000890247722204,,,2.900057908346276,998.2797083455171,100,88.7667339604357
hstrm04,16.171364148785123,3.1003867014124067,,,79.9991097522778,20.000890247722207,,,2.900057908346276,647.0980104485918,100,57.52876094515837
hstrm05,16.171364148785123,3.1003867014124067,,,79.9991097522778,20.000890247722207,,,2.900057908346276,319.86462889782257,100,28.366745462139505
hstrm06,5.0,2.4802817600079368,,,100.0,,,,2.900057908346276,319.86462889782257,100,22.764199542617312
hstrm07,5.0,2.4802817600079368,,,100.0,,,,2.900057908346276,300.0,100,21.350042605156663
hstrm08,5.0,2.4802817600079368,,,100.0,,,,6.612132031029508,393.98668754598356,100,12.311183753239124
hstrm09,5.0,2.4802817600079368,,,100.0,,,,6.612132031029508,300.0,100,9.373879185699414
hstrm10,5.0,2.4802817600079368,,,100.0,,,,15.075661030747277,394.0587476682602,100,5.414005158356096
hstrm11,5.0,2.4802817600079368,,,100.0,,,,15.075661030747277,300.0,100,4.1215333217613255
hstrm12,5.0,2.4802817600079368,,,100.0,,,,34.372507150103786,394.21235374517346,100,2.389332477857603
hstrm13,5.0,2.4802817600079368,,,100.0,,,,34.372507150103786,300.0,100,1.8186500829979926
hstrm15,5.0,2.4802817600079368,,,100.0,,,,65.0,371.12006520791414,100,1.2015216850617585
ostrm01,210.1736448519394,7.14370898105177,0.7544832496985182,0.024602714664082113,,0.8118895839147098,63.409396594227644,34.99962785749503,2.900057908346276,981.9018216524423,100,201.253506682928
ostrm02,7.372033174144025,0.2505721382518922,0.754483249698518,0.024602714664082106,,0.8118895839147102,63.40939659422765,34.99962785749503,2.900057908346276,981.9018216524423,100,7.059151154392089
ostrm03,202.80161167779545,6.893136842799879,0.7544832496985181,0.024602714664082106,,0.8118895839147098,63.409396594227665,34.99962785749503,2.900057908346276,981.9018216524423,100,194.19435552853594
ostrm04,202.80161167779545,6.893136842799879,0.7544832496985181,0.024602714664082106,,0.8118895839147098,63.409396594227665,34.99962785749503,2.900057908346276,608.8921817754987,100,120.43072169190052
ostrm05,202.80161167779545,6.893136842799879,0.7544832496985181,0.024602714664082106,,0.8118895839147097,63.40939659422765,34.99962785749503,1.01,478.6229919715851,100,271.64657486363353
ostrm06,202.80161167779545,6.893136842799879,0.7544832496985181,0.024602714664082106,,0.8118895839147097,63.40939659422765,34.99962785749503,1.01,342.33634907865644,100,194.20589160658207
sweep01,170.49161697357246,5.903568101047801,0.91297477638444,0.029770916621231734,,0.9824402485006476,76.72957577178794,21.34523828670573,2.900057908346276,886.2494941031514,100,150.1257933541948
sweep01b,170.49161697357246,5.903568101047801,0.91297477638444,0.029770916621231734,,0.9824402485006474,76.72957577178794,21.34523828670573,2.900057908346276,995.8334245306285,100,168.67907374913798
sweep02,163.11958379942843,5.6529959627959085,0.9199999999999999,0.029999999999999992,,0.9899999999999999,77.32,20.740000000000002,2.900057908346276,881.9282482684249,100,143.053406248429
sweep03,163.1195837994284,5.652995962795908,0.9199999999999999,0.03,,0.9900000000000001,77.32,20.740000000000002,2.900057908346276,407.2842529844429,100,66.02201746170817
sweep04,163.1195837994284,5.652995962795908,0.9199999999999999,0.03,,0.9900000000000001,77.32,20.74,1.01,288.15,100,133.99408529459086
water00,55.85433453422091,3.100386701412407,,,,100.0,,,1.01,288.15000000000504,0.0,0.0559045105251535
water01,55.85433453422091,3.100386701412407,,,,100.0,,,6.000000000000001,288.18502058881586,0.0,0.05589178125506263
water02,28.07611032382932,1.5584609466979873,,,,100.0,,,6.000000000000001,288.18502058881586,0.0,0.028094933540941926
water03,27.778224210391596,1.5419257547144198,,,,100.0,,,6.000000000000001,288.18502058881586,0.0,0.027796847714120707
water04,28.07611032382932,1.5584609466979873,,,,100.0,,,6.000000000000001,431.97647726522246,23.679636546916512,2.121678657348802
water05,27.778224210391596,1.5419257547144198,,,,100.0,,,6.000000000000001,431.97647726522246,18.203485038775536,1.620784585061849
