,mass flow (kg/s),mole flow (kmol/s),mole percent CO2 (%),mole percent H2O (%),mole percent N2 (%),mole percent O2 (%),pressure (bar),temperature (K),volumetric flow (m**3/s)
g08,1113.174023794895,39.35730115590305,4.013693713124437,8.630816663197892,75.02842206573861,12.327067557939044,1.1004073644793488,897.9999999999999,2670.437041341831
g09,1113.174023794895,39.35730115590305,4.013693713124437,8.630816663197892,75.02842206573861,12.327067557939044,1.09839766826939,880.4212787694607,2622.95248343951
g10,1113.174023794895,39.35730115590305,4.013693713124437,8.630816663197892,75.02842206573861,12.327067557939044,1.0964275813870232,840.9401508990343,2509.831880415624
g11,1113.174023794895,39.35730115590305,4.013693713124437,8.630816663197892,75.02842206573861,12.327067557939044,1.0945510730150638,821.1170034233635,2454.870061120033
g12,1113.174023794895,39.35730115590305,4.013693713124437,8.630816663197892,75.02842206573861,12.327067557939044,1.0927200454354526,787.0107831907383,2356.8463354944133
g13,1113.174023794895,39.35730115590305,4.013693713124437,8.630816663197892,75.02842206573861,12.327067557939044,1.0831848709591265,752.6477255027955,2273.7811564543567
g14,1113.174023794895,39.35730115590305,4.013693713124437,8.630816663197892,75.02842206573861,12.327067557939044,1.0815037915436743,722.0920163272067,2184.8619028401877
g15,1113.174023794895,39.35730115590305,4.013693713124437,8.630816663197892,75.02842206573861,12.327067557939044,1.0815037915436743,586.1347516285244,1773.4907183678936
g16,1113.174023794895,39.35730115590305,4.013693713124437,8.630816663197892,75.02842206573861,12.327067557939044,1.0813078049669176,579.3643218370721,1753.3228970171929
g17,1113.174023794895,39.35730115590305,4.013693713124437,8.630816663197892,75.02842206573861,12.327067557939044,1.0468339515487357,577.5791158135153,1805.4820584014885
g18,1113.174023794895,39.35730115590305,4.013693713124437,8.630816663197892,75.02842206573861,12.327067557939044,1.0466347425943596,569.7443565056785,1781.3299923071597
g19,1113.174023794895,39.35730115590305,4.013693713124437,8.630816663197892,75.02842206573861,12.327067557939044,1.0464946743126315,559.1159551883919,1748.3338177554342
g20,556.5870118974475,19.678650577951526,4.013693713124437,8.630816663197892,75.02842206573861,12.327067557939044,1.0464946743126315,559.1159551883919,874.1669088777171
g21,556.5870118974475,19.678650577951526,4.013693713124437,8.630816663197892,75.02842206573861,12.327067557939044,1.0464946743126315,542.3010941838074,847.877201114623
