,BFW_Fm,BFW_F,BFW_h,BFW_T,BFW_P,BFW_F[H2O],ECON_OUT_Fm,ECON_OUT_F,ECON_OUT_h,ECON_OUT_T,ECON_OUT_P,ECON_OUT_F[H2O],FG_2_AIRPH_Fm,FG_2_AIRPH_F,FG_2_AIRPH_h,FG_2_AIRPH_T,FG_2_AIRPH_P,FG_2_AIRPH_F[O2],FG_2_AIRPH_F[NO],FG_2_AIRPH_F[N2],FG_2_AIRPH_F[SO2],FG_2_AIRPH_F[CO2],FG_2_AIRPH_F[H2O],FG_2_ECON_Fm,FG_2_ECON_F,FG_2_ECON_h,FG_2_ECON_T,FG_2_ECON_P,FG_2_ECON_F[O2],FG_2_ECON_F[NO],FG_2_ECON_F[N2],FG_2_ECON_F[SO2],FG_2_ECON_F[CO2],FG_2_ECON_F[H2O],ECON_Q,termination,bin_no,bin_power
10,496.5477673474871,27562.607858372525,15015.222464579225,466.2517433244974,26922557.697040584,27562.607858372525,496.5477673474871,27562.607858372525,19670.703596348198,524.0672489797852,26250858.28814579,27562.607858372525,578.1190650090545,19508.55125681222,-72305.35615009784,497.30403972876314,99781.87518177384,481.8612160432619,11.70513075408733,14453.885626172174,39.01710251362444,2826.7890771120906,1695.2931042169816,578.1190650090545,19508.55125681222,-65727.87127498734,695.4595962974979,99245.27975631652,481.8612160432619,11.70513075408733,14453.885626172174,39.01710251362444,2826.7890771120906,1695.2931042169816,128317200.8270005,optimal,24.0,592500000.0
11,505.52474875362367,28060.906379723223,15321.995147721818,470.1647028754656,26923237.432236623,28060.906379723223,505.52474875362367,28060.906379723223,20027.123664845512,528.3186796504539,26251676.834677782,28060.906379723223,583.0176942132606,19673.85485031484,-72638.59870036614,486.96822478286145,99586.55559082462,485.9442148027766,11.804312910188903,14576.359058598266,39.347709700629686,2850.7415678106204,1709.6579864923594,583.0176942132606,19673.85485031484,-65927.65304034665,689.6004270882677,100651.77603398454,485.9442148027766,11.804312910188903,14576.359058598266,39.347709700629686,2850.7415678106204,1709.6579864923594,132030170.82357399,optimal,23.0,587500000.0
12,505.54482607960335,28062.020841410926,14619.823459763455,461.19055437127696,26921343.968664497,28062.020841410926,505.54482607960335,28062.020841410926,19592.50290611059,523.1307129803491,26250164.43669989,28062.020841410926,583.8956908641974,19703.482730979602,-72713.91519377216,484.6283785342638,100004.000672877,486.6760234551962,11.822089638587759,14598.310355382786,39.406965461959196,2855.034647718944,1712.2326493221271,583.8956908641974,19703.482730979602,-65631.74418033777,698.2754551867514,100706.70049716852,486.6760234551962,11.822089638587759,14598.310355382786,39.406965461959196,2855.034647718944,1712.2326493221271,139543434.26104903,optimal,23.0,587500000.0
13,494.10003813943155,27426.738150075344,15379.647728250806,470.8987318288133,26922946.608846314,27426.738150075344,494.10003813943155,27426.738150075344,20124.449025767968,529.4746128273437,26251478.523913424,27426.738150075344,582.29134381284,19649.344252282946,-72252.27375513544,498.9478585900169,101028.77350587565,485.33880303138875,11.789606551369765,14558.199156516434,39.29868850456589,2847.1899821557986,1707.5280155233875,582.29134381284,19649.344252282946,-65629.43580745069,698.3430479458774,99772.42339313452,485.33880303138875,11.789606551369765,14558.199156516434,39.29868850456589,2847.1899821557986,1707.5280155233875,130134422.76114096,optimal,23.0,587500000.0
14,490.36531531440454,27219.42939257992,15138.167798960056,467.82143962846,26922677.888204865,27219.42939257992,490.36531531440454,27219.42939257992,20111.40761758324,529.3198544161924,26251197.735336337,27219.42939257992,584.1585794413278,19712.35387118615,-72462.50432009599,492.4334167815833,100149.58553766916,486.89514061829806,11.827412322711691,14604.88298316182,39.42470774237231,2856.320075934874,1713.0035514060764,584.1585794413278,19712.35387118615,-65595.30058684466,699.3424350792777,100260.69883313797,486.89514061829806,11.827412322711691,14604.88298316182,39.42470774237231,2856.320075934874,1713.0035514060764,135368750.09538075,optimal,23.0,587500000.0
15,486.98113540263495,27031.578736582487,15477.30271536165,472.1411730924877,26921297.461228028,27031.578736582487,486.98113540263495,27031.578736582487,20245.186347894956,530.9055546485462,26251914.39502418,27031.578736582487,589.0620325336685,19877.82024615479,-72449.81516772207,492.8269326238518,100589.68537281435,490.98216008002333,11.926692147692872,14727.477020376084,39.75564049230958,2880.296153667829,1727.382579390851,589.0620325336685,19877.82024615479,-65966.03474191716,688.4736959977204,100824.4756778425,490.98216008002333,11.926692147692872,14727.477020376084,39.75564049230958,2880.296153667829,1727.382579390851,128883421.81968704,optimal,23.0,587500000.0
16,511.1264804769942,28371.849948443407,14784.412194045497,463.29970071155554,26921917.493407857,28371.849948443407,511.1264804769942,28371.849948443407,19654.316093179874,523.8711343985585,26249834.986577775,28371.849948443407,581.1022004206536,19609.2167660569,-72661.68468342646,486.25116535957574,100257.63149742168,484.34765412160544,11.765530059634136,14528.468701971555,39.21843353211379,2841.3755094016446,1704.040936970344,581.1022004206536,19609.2167660569,-65615.6009801372,698.7481271654354,98893.36858428377,484.34765412160544,11.765530059634136,14528.468701971555,39.21843353211379,2841.3755094016446,1704.040936970344,138168182.68958,optimal,23.0,587500000.0
17,505.1479554927368,28039.991161537913,15201.961674512435,468.63524061470633,26921917.739501707,28039.991161537913,505.1479554927368,28039.991161537913,20315.147692466006,531.7332043202416,26250120.57061761,28039.991161537913,580.4970248352807,19588.795196104984,-72683.83839447137,485.56293843534274,100343.5211170394,483.8432413437932,11.75327711766299,14513.338360794183,39.17759039220997,2838.416423915612,1702.266302541523,580.4970248352807,19588.795196104984,-65364.66999665048,706.0875643301353,100902.35606049138,483.8432413437932,11.75327711766299,14513.338360794183,39.17759039220997,2838.416423915612,1702.266302541523,143373690.75071734,optimal,23.0,587500000.0
18,489.010784958564,27144.241482200763,14994.44593853511,465.98631100763805,26922334.528514754,27144.241482200763,489.010784958564,27144.241482200763,19904.22726864301,526.8559747392461,26251239.23046651,27144.241482200763,584.6338536305565,19728.391935735133,-72317.88458632439,496.91596386524867,100049.8492584135,487.29128081265776,11.837035161441076,14616.765585186156,39.45678387147026,2858.64399148802,1714.3972592153825,584.6338536305565,19728.391935735133,-65562.52963984007,700.3016239591813,100329.91761722058,487.29128081265776,11.837035161441076,14616.765585186156,39.45678387147026,2858.64399148802,1714.3972592153825,133272290.04924975,optimal,23.0,587500000.0
19,491.0153716196615,27255.51302482214,14779.370590697907,463.2350093302701,26923026.200761843,27255.51302482214,491.0153716196615,27255.51302482214,19929.18532723867,527.153250289605,26252960.05968273,27255.51302482214,580.8453697880428,19600.550050385566,-72577.22624391936,488.8738327850996,100734.42026650273,484.1335862445236,11.76033003023134,14522.04753233067,39.201100100771136,2840.119702300869,1703.2877993785057,580.8453697880428,19600.550050385566,-65416.159729643325,704.5827431264698,100414.3473507597,484.1335862445236,11.76033003023134,14522.04753233067,39.201100100771136,2840.119702300869,1703.2877993785057,140360842.6272078,optimal,23.0,587500000.0
